,locations,text
928,"Tampa, FL",RT @SerendipityDizl: The best way to combat the flood of misinformation is with a tsunami of facts.  People who continue to ignore or disbe…
929,"Norway, Europe, Planet Earth, Solar System, Orion spur, MWG","⚠️🌍#TimeWillTell [please note the TimeFrame below]
#Earthquake #Tsunami @HuffPost @UNOCHA @unisdr @UN_News_Centre… https://t.co/87V8jecqix"
930,"Kuala Lumpur City, Kuala Lumpur Federal Territory",RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
931,Heavenly Realms,NOTHING WILL STOP THE TSUNAMI 🌊 MOVE OF GOD! News Peace!  https://t.co/qsnVrTWS0B #newspeace https://t.co/yj2xcParec
932,"New Delhi, India","RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
933,"New Delhi, India",RT @ggiittiikkaa: Vivek Oberoi has donated flats to 25 CRPF martyrs; rehabilitated 3000 tsunami-hit families; gifted apartments to acid att…
934,"Hawaii, USA","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
935,"Houston, TX","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
936,Nepal,RT @bergwill1: So proud of our #Nepali physiotherapist colleague @rimalsudan sharing his experience from the #NepalEarthquake &amp; training an…
937,Orlando FL,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
938,India,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
939,houston,"@AsterAndIvy now that tsunami is coming out, i think it’s time for y’all to come to houston 
( mostly so i can take… https://t.co/qXTOG83M1D"
940,Kampala,"RT @Zeed1st: 🏄‍♂️Dear Friends

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me🍏
🙋‍♂️MY follow back💯

❤️Comment IF…"
941,Kangayam,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
942,"Ranchi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
943,"Snyder, New York","RT @Yesterday_Today: January 14 - 1907: Jamaica - a 6.5 earthquake damaged nearly every building in Kingston, with fires and a tsunami kill…"
944,"Bengaluru, India.","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
945,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
946, 🌴☀️palm beach county☀️🌴,That paper bag causin tsunami's 🌊🌊 durags about to be obsolete
947,othello. plain and simple,I miss you
948,"Phoenix, AZ",@bossy_bootz And them people that pronounce the T in tsunami!
949,United States,Screw civility.  How can you be civil when dealing with Russia-loving traitors like ⁦@realDonaldTrump⁩ and ⁦… https://t.co/narIOSjIcz
950,United States,RT @LadyLecondoliak: I unfriended someone recently on Facebook who posted something encouraging those of us who don't consider Trump our Pr…
951,Mother Earth,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
952,"Pharr, TX","RT @got_monberry: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue:…"
953,Ecuador,"RT @ReAl_Malick: 💚Dear Friends💚

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me
🙋‍♂️MY follow back💯

💚Comment IF…"
954,"Nashville, TN",RT @washingtonpost: Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/yQylWgU5qQ
955,𝚙𝚑𝚒𝚕𝚒𝚙𝚙𝚒𝚗𝚎𝚜  ♡  𝚌𝚊𝚗𝚊𝚍𝚊,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
956,"New York, USA","New Electro &amp; House Mix #1 [Tsunami, Animals, Toulouse, Ping Pong] [HD] https://t.co/u85RluRIGX"
957,San Francisco Bay Area,"WAPO: ""Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying.""  Seems like a good t… https://t.co/nvdcTnIO9C"
958,"Orlando, FL",@sjulietbravo What about tsunami by the Forum??
959,"Hyderabad, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
960,"Jacksonville Beach, FL","RT @gryscalepa: GOOD MORNING TO THE COVER ART OF ASTER AND IVY'S NEW SINGLE ""TSUNAMI"" AND THE COVER ART ONLY. WOW. SHE'S PRETTY. https://t.…"
961,"Raniganj, West Bengal, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
962,Apki oqaat se bahar,"RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
963,Ecuador,"RT @ReAl_Malick: 💚Dear Friends💚

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me
🙋‍♂️MY follow back💯

💚Comment IF…"
964,spencer/lucas 🌌 they/he ,"RT @gryscalepa: GOOD MORNING TO THE COVER ART OF ASTER AND IVY'S NEW SINGLE ""TSUNAMI"" AND THE COVER ART ONLY. WOW. SHE'S PRETTY. https://t.…"
965,The Planet Next to Earth ,"RT @thatlastlioness: Never left alone
reminisce of past
With a tsunami and
a butterfly in my heart 
deciphering the future 
new beginnings…"
966,"Texas, USA","RT @prichvisalia: @KamVTV @realDonaldTrump @POTUS Ok, come on #Qanon’s... WE must find out WHO Capt. America is holding in his right hand?…"
967,"RS Puram, Coimbatore","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
968,In GOT7’s heart :’),"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
969,Lod ISRAEL,RT @ronaldvan910: AMEN! https://t.co/wyOf6zerGc
970,Royal council|They/them,"RT @gryscalepa: GOOD MORNING TO THE COVER ART OF ASTER AND IVY'S NEW SINGLE ""TSUNAMI"" AND THE COVER ART ONLY. WOW. SHE'S PRETTY. https://t.…"
971,Jamnagar Reliance Greens,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
972,Royal council|They/them,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
973,"Fresno, CA",Are the money criticisms of the church the stupidest criticisms of the church?
974,"England, United Kingdom","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
975,CT Yankee in King Greg's Court,RT @tictoc: Welcome back to the ocean: Rescue workers return turtles to the sea after being stranded inland by a tsunami in Indonesia https…
976,"Karachi, Pakistan","RT @BhattiGalSun: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Indian army kills Kashmiri…"
977,take me to my city by the bay,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
978,"Dubai, United Arab Emirates","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
979,United States,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
980,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
981,Nelson,"RT @zelphontheshelf: In 2004, LDS leaders encouraged members to donate to their humanitarian fund to help victims of the tsunami. 

Members…"
982,The Void,"RT @gryscalepa: GOOD MORNING TO THE COVER ART OF ASTER AND IVY'S NEW SINGLE ""TSUNAMI"" AND THE COVER ART ONLY. WOW. SHE'S PRETTY. https://t.…"
983,"Arlington, VA","@PaperMissiles Whole tsunami thing is  nonsense from a physics point of view, of course."
984,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
985,Luton GB^,KODIAK (AP) — Kodiak officials say nearly half of the city's aging tsunami warning sirens are not working. The Kodi… https://t.co/nOCfNHYWgx
986,"Portland, OR",Rare ‘tsunami fish’ spotted off California coast - https://t.co/jCVzrfwfBF
987,United States of America,"https://t.co/NOgfSVBRLj #TSUNAMI 35 miles SW of Barter I., Alaska 
     Category: InformationBulletin Issue Time:… https://t.co/oHLt2YL2qs"
988,minghao’s heart,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
989,"West Bengal, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
990,"Sydney, New South Wales",Ghosts of the Tsunami by Richard Lloyd Parry US: https://t.co/tLbQHlkp7S UK: https://t.co/tqCNt3tYF9 #Books #Japan https://t.co/VIZ9VwtDYo
991,ahgase ♡,I WISH THIS DIDNT HURT SO BAD.
992,Eta Piscium ,RT @bigtickHK: Ghosts of the Tsunami by Richard Lloyd Parry US: https://t.co/tLbQHlkp7S UK: https://t.co/tqCNt3tYF9 #Books #Japan https://t…
993,knee dab,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
994,Planet Earth,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
995,In an Ocean State of mind,Check out our cool @AP video lookback at this weird disaster that played out 100 years ago Tuesday.… https://t.co/gyU8x8WPS8
996,"Clarksville, TN","'Catastrophic collapse’ of Mount Etna could trigger tsunami, scientists warn (Indepedent)

https://t.co/TRHxw2FAEt https://t.co/TRHxw2FAEt"
997,Ecuador,"RT @ReAl_Malick: 💚Dear Friends💚

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me
🙋‍♂️MY follow back💯

💚Comment IF…"
998,"Asheville, NC","ICYMI: This week in #history: Boston suffers a molasses tsunami, President Dwight D. Eisenhower bids the nation far… https://t.co/bVEAhj0mXZ"
999,"Columbus, OH",Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/9fLjC8s9sg
1000,We're Global,"@thisistieara If that small thought is triggered with right ideas, it would bring tsunami of a revolution..."
1001,"Boston, Mass.",RT @billkole: Check out our cool @AP video lookback at this weird disaster that played out 100 years ago Tuesday. https://t.co/enB27CCefw h…
1002,भारत ,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1003,"Silver Spring, MD",Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/Sc3J6WHqRi
1004,"Ann Arbor, MI","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
1005,"tampa, fl","RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
1006,भारत ,RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
1007,USA,@LindseyGrahamSC @LIFEforSC How does it feel to be rejected by your orange God? He rejects your proposal. He’s insa… https://t.co/ao8vyw4pzJ
1008,Germany,guys help my house is flooding due to the fact that my house is like a dirt hut from minecraft guys send help i mea… https://t.co/8lv81VB5mv
1009,British Columbia,"@NEWS1130 @billgood_news LNG will cause the release of mathane gases which will poison our land, water and air. Eve… https://t.co/0CaQPkqKjt"
1010,"Paris, Lahore ","RT @vellamasroof: tsunami :  T is silent

honest :  H is silent

island :  S is silent

Queue :  ueue is silent

Neya pakistan: neya is sil…"
1011,"mountain view, Hawaii","@B52Malmet Yep, the long haul could very well reveal the TRUTH and a Blue Tsunami for a Generation...keep up the st… https://t.co/KkV35Aam6R"
1012,@Laurel_Sweet,"RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
1013,"Granada, España",RT @fred_evers: New paper about 'Impulse Wave Runup on Steep to Vertical Slopes' 🌊⛰️@JMSE_MDPI Special Issue 'Tsunami Science and Engineeri…
1014,World-Wide #IDWP,@IndigoStarr777 allrighty .. thank you for all you do for Michael... We all can make little ripples with our indivi… https://t.co/woM8ZoUEeX
1015,"Bengaluru, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1016,"Staten Island, NY","RT @JosephDeMauro1: THE WEATHER COMMONERS
.
The Latest Weather Events Making The News
.
click here:
https://t.co/VQpf8aQl15

#storm #weathe…"
1017,渋谷区ジブラルタマークシティ,"Earthquake and tsunami that occurred in Japan, ""free speech"" is also swallowed. https://t.co/TJyyFT6NV0"
1018,www.laurienadel.com,Something's coming @elaineclayton
1019,"Portland, Maine",RT @billkole: Check out our cool @AP video lookback at this weird disaster that played out 100 years ago Tuesday. https://t.co/enB27CCefw h…
1020,"Timberville, VA","RT @BobHallReboot: “Civility” is not the problem. Toxic racism/xenophobia, destruction of democratic norms and institutions are the problem…"
1021,"Dallas, TX",I love how @PaulDButlerTWE so often highlights fascinating parts of history that I didn't know about before. Histor… https://t.co/oZ6WN3voey
1022,"Chennai, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1023,"Uttar Pradesh, India",RT @narendramodi: Saddened by the loss of lives and destruction in Indonesia caused by the Tsunami after the eruption of a volcano. Condole…
1024,•multifandom•,"RT @kissjaebeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: t…"
1025,"San Francisco, CA",@GizaIzabella @BlackPanther963 @AprilLigeia @artisticdream79 @nullifidian222 @Catheri77148739 @AtheisticDragon… https://t.co/CzeMapcxFY
1026,"San Marcos, CA",RT @PacificCouncil: Rare ‘tsunami fish’ spotted off California coast - https://t.co/jCVzrfwfBF
1027,"Washington, DC",Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. By @katiezez: https://t.co/D0MwQ74fRp
1028,❤🌟🌻 'Neverland' 🌻🌟❤️,RT @MJJJusticePrjct: @IndigoStarr777 allrighty .. thank you for all you do for Michael... We all can make little ripples with our individua…
1029,"Rawalpindi, Pakistan","RT @ReAl_Malick: 🏄‍♂️Dear Friends

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me🍏
🙋‍♂️MY follow back💯

❤️Commen…"
1030,United,"RT @Lynne_Jean: Read my own experience of surviving a deadly #cyclone #hurricane #tsunami #althea
https://t.co/F7HDTBdG1d
On Amazon or DM f…"
1031,Cardiff,The tsunami of cultural enrichment is unstoppable. https://t.co/H5hmOMj0Wx
1032,"New York, NY","RT @BobHallReboot: “Civility” is not the problem. Toxic racism/xenophobia, destruction of democratic norms and institutions are the problem…"
1033,Oregon,RT @RobZacny: It's embarrassing just reading this. https://t.co/EFUyMXsRn3
1034,"Uttar Pradesh, India",RT @narendramodi: Paid homage to those who lost their lives in the unfortunate 2004 Tsunami at the Tsunami Memorial in Car Nicobar. https:/…
1035,"Surfers Paradise, Gold Coast",@dombarr05 @wetropic @LiberalAus @billshortenmp There is a saying ‘all a person’s ways are right in there own eyes’… https://t.co/gR6HDW7OWY
1036,₁₀₀₆₁₈ ,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1037,Latitude 45 Longitude 73,"I liked a @YouTube video https://t.co/PRVNMbBVvn Fisherman Describes Attempt To Outrun Tsunami - Crescent City, CA"
1038,Ecuador,"RT @ReAl_Malick: 💚Dear Friends💚

🕺Let's enjoy this Tsunami
🎼Gain f0ll0wers🏃‍♂️

🏂Retweet &amp; like
🍎Follow Me
🙋‍♂️MY follow back💯

💚Comment IF…"
1039,Hindusthan (#BHAARATH),"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1040,"Uttar Pradesh, India","RT @narendramodi: To hide their own failures, the TDP Government in AP is spreading so many lies.

BJP’s truth will defeat the Tsunami of T…"
1041,dcdc🖤,"RT @gryscalepa: GOOD MORNING TO THE COVER ART OF ASTER AND IVY'S NEW SINGLE ""TSUNAMI"" AND THE COVER ART ONLY. WOW. SHE'S PRETTY. https://t.…"
1042,"Melbourne, Victoria, Australia","It is more than obvious that, between now and the federal election, we are going to be swamped by a tsunami of lies… https://t.co/0zoVh34iE9"
1043,"Kaduna, Nigeria",RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
1044,"Northeastern, PA",RT @reyna4321: NOTHING WILL STOP THE TSUNAMI 🌊 MOVE OF GOD! News Peace!  https://t.co/qsnVrTWS0B #newspeace https://t.co/yj2xcParec
1045,United States,Check out tSUNAMI RELIEF AUSTIN MUSIC HALL LIVE SHOW POSTER WILLIE NELSON 2005 neocurio#tsunamirelief #willienelson… https://t.co/Z6gDdQPQjO
1046,nyoom city | he/him,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1047,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1048,Republic of the Philippines,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1049,canada,F I N A L L Y
1050,I miss victon *cries*,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1051,Deutschland,"RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1052,D.C. or ✈️,Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. https://t.co/KuvHdqqrLB
1053,"New Smyrna Beach, FL","@BillKristol From an objective Democratic point of view, I believe Kasich/Sasse or Kasich/Murkowski would be your b… https://t.co/hKuSkPIQGO"
1054,"Austin, TX",RT @EndTimeHeadline: Scientists urge government officials to prepare for magnitude 9 mega-quake and deadly tsunami with 30 metre-high waves…
1055,Bishopbriggs 🏴󠁧󠁢󠁳󠁣󠁴󠁿,"RT @zelphontheshelf: In 2004, LDS leaders encouraged members to donate to their humanitarian fund to help victims of the tsunami. 

Members…"
1056,"salem, massachusetts","RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1057,"Austin, TX",RT @RevelationR: Scientists urge government officials to prepare for magnitude 9 mega-quake and deadly tsunami with 30 metre-high waves. ht…
1058,Sigonella,"RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1059,here,"RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1060,"Washington, DC",Why did he need a range ring?
1061,"Mumbai, Maharashtra","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1062,European Union,"RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1063,"Kiev, Ukraine","RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1064,"Maine, USA",RT @billkole: Check out our cool @AP video lookback at this weird disaster that played out 100 years ago Tuesday. https://t.co/enB27CCefw h…
1065,"Genève, Suisse",RT @fred_evers: New paper about 'Impulse Wave Runup on Steep to Vertical Slopes' 🌊⛰️@JMSE_MDPI Special Issue 'Tsunami Science and Engineeri…
1066,Sydney,I liked a @YouTube video https://t.co/0ANLpPS7sF Largest and Best TSUNAMI compilation of Japan Tohoku earthquake 2011
1067,"Gauteng , South Aftica","RT @MzwaneleManyi: Dear South Africa
This cartoon has unwittingly confirmed which parties will soon be working together as opposition to th…"
1068,Mexico City,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1069,BOSTON,"RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1070,India,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1071,North Korea Ilsan,"English pronunciation class:

~ Tsunami - the T is silent.
~ Hones - the H is silent.
~ Island - the S is silent.
~… https://t.co/Wuz3EGJCAa"
1072,"Colonia, Alemania","RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1073,𝐚𝐡𝐠𝐚𝐬𝐞 𝐥𝐚𝐧𝐝,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1074,SYDNEY               Born 1959,"RT @llament: It is more than obvious that, between now and the federal election, we are going to be swamped by a tsunami of lies, damned li…"
1075,"Houston, Texas",The latest Heartbeat of Humanity! https://t.co/6uWQcC3mCv Thanks to @yourjumpstart @stephaniejowers @brig_eaton #earthquake #tsunami
1076,"Los Angeles, CA","RT @JulianRoepcke: Russian newspaper (which's e-i-c advices Vladimir Putin) calls for Russia to send a ""Poseidon"" underwater drone &amp; detona…"
1077,"Jacksonville Beach, FL","FRIENDS! I couldn’t be prouder of what we have made here. Pre-save Tsunami, and get ready!"
1078,canada,PRESAVE THIS RN AND MARK YOUR CALENDARS LADS THIS IS FINALLY HAPPENING
1079,"Nevada, USA",RT @LadyLecondoliak: I unfriended someone recently on Facebook who posted something encouraging those of us who don't consider Trump our Pr…
1080,Brunei Darussalam,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1081,United States,RT @john_danfulani: Ado Ekiti fulll Atikulated. This is a more than a movement. It's a Tsunami. https://t.co/FCFwENk51v
1082,"Normal, IL","RT @APEastRegion: Boston is marking the 100th anniversary of its most peculiar disaster, the Great Molasses Flood. The sticky, deadly tsuna…"
1083,"Carson City, NV",The bike that won it 😛 @blakebaggett4 put his @teamrmatvmc KTM on the top of the podium in Phoenix! The Chupacabra… https://t.co/HIBtMgadLq
1084,"Champaran,Bihar,India",RT @nsitharaman: On #VeteransDay interacted with veterans and their families in Great Nicobar today. Many live in Joginder Nagar here. Whil…
1085,what the fuck ville,*puts on ninja merch* drippin so much i might cause a tsunami
1086,"जम्बू द्वीपे,  Melukote K.A","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1087,Kenya,"@WHOAFRO @africaupdates @WHO Excellent, congrats to Rwanda. I've been thinking of addressing disaster preparedness… https://t.co/677HZj8UfG"
1088,concert or post-concert,"RT @gryscalepa: GOOD MORNING TO THE COVER ART OF ASTER AND IVY'S NEW SINGLE ""TSUNAMI"" AND THE COVER ART ONLY. WOW. SHE'S PRETTY. https://t.…"
1089,"Atlanta, GA","RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
1090,Global,"RT @TruthNeverDies6: @DalaiLama Yes, I'm here to teach.

Madiah The Demon Warrior Buddha,

Hok Hok Hok
   6     6     6

#EndTimes #Apocaly…"
1091,Tennessee/GA,@WhiteHouse @realDonaldTrump A tsunami of damaging and fatal information to tRUMPS presidency is on the horizon hea… https://t.co/faMMFFY4xN
1092,bts bp mx astro exo svt ,"RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1093,Washington DC,RT @myhlee: Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. By @katiezez: https://t.co/D0MwQ74fRp
1094,"Virginia, USA",RT @myhlee: Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. By @katiezez: https://t.co/D0MwQ74fRp
1095,"Jacksonville Beach, FL",RT @antoniamaljevac: F I N A L L Y https://t.co/EW4odplyqG
1096,"got7;skz,nct;mx;mmm;exo;y más","RT @aegbeom: English pronunciation class:

• Tsunami: the T is silent.
• Honest: the H is silent.
• Island: the S is silent.
• Queue: UEUE…"
1097,"Jacksonville Beach, FL","RT @father_fabio: FRIENDS! I couldn’t be prouder of what we have made here. Pre-save Tsunami, and get ready! https://t.co/0nABTcCNyF"
1098,"Jacksonville Beach, FL",RT @antoniamaljevac: PRESAVE THIS RN AND MARK YOUR CALENDARS LADS THIS IS FINALLY HAPPENING https://t.co/EW4odplyqG
1099,Delhi,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1100,United States,"RT @gryscalepa: GOOD MORNING TO THE COVER ART OF ASTER AND IVY'S NEW SINGLE ""TSUNAMI"" AND THE COVER ART ONLY. WOW. SHE'S PRETTY. https://t.…"
1101,"overpass, screaming @ the cars","RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
1102,"Mumbai, India","RT @MumbaiPolice: Tsunami - T is silent 
Honest - H is silent 
Island- S is silent 
Queue - Ueue is silent 
Being blackmailed - You are sil…"
1103,Washington DC,RT @myhlee: Is it possible to resurrect civility amid a tsunami of toxicity? This group is trying. By @katiezez: https://t.co/D0MwQ74fRp
1104,plum island | she/her,"RT @AsterAndIvy: Pre-Save “Tsunami” now and be the first to hear it when it releases on JAN 25th! 

Pre-Save Link: https://t.co/bhLJiVjVR5…"
1105,日本 福岡,RT @bigtickHK: Ghosts of the Tsunami by Richard Lloyd Parry US: https://t.co/tLbQHlkp7S UK: https://t.co/tqCNt3tYF9 #Books #Japan https://t…
1106,The box to the left...,@geminibuttaflyy I looked up fires in portugal and sure enough it was a big ass fire in Lisbon after an earthquake… https://t.co/2f4xZ0ooIa
1107,Mumbai,"RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
1108,"Fallbrook, CA",@AntonioParis I have a question for you. What happens to whales and sharks etc during a tsunami? They don't seem to… https://t.co/MSzXwqC4gI
1109,"New York, USA","RT @Schuldensuehner: Gundlach is worried that if growth slows &amp; stocks slump, Treasury yields may actually rise given tsunami of debt marke…"
1110,Sweden usually...,@tassagency_en Oceanic multipurpose system - sounds like something useful. Tsunami makers? 🙀
1111,"Varanasi, India","RT @nsitharaman: Southernmost point of India, in the Great Nicobar island—Indira Point. Tsunami took away a considerable stretch of land; t…"
